text,label,original_intent,split
tell me what alternative means,faq,definition,train
what does alternative mean,faq,definition,train
give me the meaning of alternative,faq,definition,train
tell me the meaning of alternative,faq,definition,train
does life have meaning,faq,meaning_of_life,train
is being alive the meaning of life,faq,meaning_of_life,train
what is the real meaning of life,faq,meaning_of_life,train
what is the answer to the meaning of life,faq,meaning_of_life,train
is there really an answer to the meaning of life,faq,meaning_of_life,train
does life have a meaning,faq,meaning_of_life,train
who can tell me if there's any meaning to life,faq,meaning_of_life,train
what makes life have any meaning,faq,meaning_of_life,train
why do you think we're here,faq,meaning_of_life,train
what's the answer to existence,faq,meaning_of_life,train
what's the point of sentience,faq,meaning_of_life,train
what's the purpose of existence,faq,meaning_of_life,train
what's the purpose of life,faq,meaning_of_life,train
what's the point of this dumpster fire known as life,faq,meaning_of_life,train
what is life's meaning,faq,meaning_of_life,train
is there a greater purpose in life,faq,meaning_of_life,train
what is our purpose in life,faq,meaning_of_life,train
how is life in existence,faq,meaning_of_life,train
what's lifes meaning,faq,meaning_of_life,train
what exactly is the meaning of life,faq,meaning_of_life,train
whats lifes meaning exactly,faq,meaning_of_life,train
what's the meaning of this life,faq,meaning_of_life,train
what is the meaning of life here,faq,meaning_of_life,train
does my life have meaning,faq,meaning_of_life,train
i wish to know the meaning of life,faq,meaning_of_life,train
i wanna know the meaning of life,faq,meaning_of_life,train
i wanna know the point of life,faq,meaning_of_life,train
i need to know the point of life,faq,meaning_of_life,train
i must know the point of life,faq,meaning_of_life,train
tell the meaning of life,faq,meaning_of_life,train
i gotta know the meaning of life,faq,meaning_of_life,train
what is your take on the meaning of life,faq,meaning_of_life,train
tell me what is the purpose of life,faq,meaning_of_life,train
what meaning does life hold,faq,meaning_of_life,train
what do you think is the meaning of like,faq,meaning_of_life,train
how do i find the meaning of life,faq,meaning_of_life,train
what is the purpose of exsistance,faq,meaning_of_life,train
what is your version on the meaning of life,faq,meaning_of_life,train
what is your explanation for the meaning of life,faq,meaning_of_life,train
what is the purpose of creation,faq,meaning_of_life,train
can you figure out the meaning of life,faq,meaning_of_life,train
whats your take on the meaning of life,faq,meaning_of_life,train
can you explain the meaning of life to me,faq,meaning_of_life,train
what is life all about,faq,meaning_of_life,train
can you explain the meaning of life,faq,meaning_of_life,train
"what's the point of life, anyways",faq,meaning_of_life,train
the meaning of life please,faq,meaning_of_life,train
the meaning of life,faq,meaning_of_life,train
i'd like to me told the meaning of life,faq,meaning_of_life,train
do you know the meaning of life,faq,meaning_of_life,train
say what the meaning of life is,faq,meaning_of_life,train
can you tell me life's meaning,faq,meaning_of_life,train
what's the meaning of my life,faq,meaning_of_life,train
what is the underlying purpose to life,faq,meaning_of_life,train
what do you think about the meaning of life,faq,meaning_of_life,train
what is life’s meaning,faq,meaning_of_life,train
help me figure out the meaning of life,faq,meaning_of_life,train
"would you tell me the meaning of life, please",faq,meaning_of_life,train
"could you tell me the meaning of life, please",faq,meaning_of_life,train
can you tell me the meaning of life,faq,meaning_of_life,train
could you tell me the meaning of life,faq,meaning_of_life,train
"can you tell me the meaning of life, please",faq,meaning_of_life,train
what does life mean to you,faq,meaning_of_life,train
is there really a meaning of life,faq,meaning_of_life,train
is there any meaning to being alive,faq,meaning_of_life,train
what is the meaning of my life,faq,meaning_of_life,train
what is the point of life,faq,meaning_of_life,train
what's the point of everything,faq,meaning_of_life,train
is there a meaning to life,faq,meaning_of_life,train
why are we here in life,faq,meaning_of_life,train
can you share the meaning of life,faq,meaning_of_life,train
research the meaning of life,faq,meaning_of_life,train
can you tell me what you think the meaning of life is,faq,meaning_of_life,train
what is our purpose here on earth,faq,meaning_of_life,train
is love the meaning of life,faq,meaning_of_life,train
is there a reason people exist,faq,meaning_of_life,train
what is the secret or meaning to life,faq,meaning_of_life,train
what does life mean on a deeper level,faq,meaning_of_life,train
how would you put what life is all about,faq,meaning_of_life,train
how would you describe what life means,faq,meaning_of_life,train
what do people say life means or the meaning is,faq,meaning_of_life,train
life has what meaning or what's the secret to it,faq,meaning_of_life,train
where is there meaning in life,faq,meaning_of_life,train
what is the meaning of this life,faq,meaning_of_life,train
do you know what the meaning of life is,faq,meaning_of_life,train
what's life's meaning,faq,meaning_of_life,train
"does life have a meaning, according to you",faq,meaning_of_life,train
does this life have a meaning,faq,meaning_of_life,train
can you share with me your interpretation of the meaning of life,faq,meaning_of_life,train
what do you think is the meaning of life,faq,meaning_of_life,train
is there a meaning in life,faq,meaning_of_life,train
i wonder if you can explain the meaning of life,faq,meaning_of_life,train
"i always wonder about the meaning of life, can you tell me",faq,meaning_of_life,train
what's my meaning in life,faq,meaning_of_life,train
define the meaning of life,faq,meaning_of_life,train
meaning of life is,faq,meaning_of_life,train
what is your perception of the meaning of life,faq,meaning_of_life,train
whats the meaning of life,faq,meaning_of_life,train
what do you think the meaning of life is,faq,meaning_of_life,train
what is behind life's meaning,faq,meaning_of_life,train
lets hear an interesting fact about funko pops,faq,fun_fact,train
know any interesting facts,faq,fun_fact,train
what is one fun fact,faq,fun_fact,train
tell me a fact,faq,fun_fact,train
lets hear a fact,faq,fun_fact,train
any unique trivia about beats headphones,faq,fun_fact,train
tell me a fact i may not know,faq,fun_fact,train
what is one thing i might not know about nike shoes,faq,fun_fact,train
tell me something interesting about sperm whales,faq,fun_fact,train
i want to know a fun fact about pluto,faq,fun_fact,train
what's an interesting fact about flamingos,faq,fun_fact,train
tell me a random fact,faq,fun_fact,train
have any cool facts on reptiles,faq,fun_fact,train
i want to learn an interesting fact about cats,faq,fun_fact,train
read me some fun facts,faq,fun_fact,train
tell me a few facts about cats,faq,fun_fact,train
help me learn something intriguing about turtles,faq,fun_fact,train
read me some interesting information about cats,faq,fun_fact,train
what's an interesting tidbit about rivers,faq,fun_fact,train
can you tell me something i don't know about banks,faq,fun_fact,train
can you tell me a fun fact regarding cars,faq,fun_fact,train
do you know any fun facts about shampoo,faq,fun_fact,train
what's a fun fact about eggs,faq,fun_fact,train
what's a neat fact about twinkies,faq,fun_fact,train
i'd like to hear a fun fact about adult entertainment,faq,fun_fact,train
tell me something neat about slinkies,faq,fun_fact,train
tell me something fun about gravity,faq,fun_fact,train
say trivia about lebron james,faq,fun_fact,train
tell me a fun fact about mt everest,faq,fun_fact,train
give me some trivia about lebron james,faq,fun_fact,train
what are some trivia questions about lebron james,faq,fun_fact,train
repeat that fun fact about mt everest,faq,fun_fact,train
what is a fun fact about mt everest,faq,fun_fact,train
say a fun fact about mt everest,faq,fun_fact,train
do you know any fun facts about mt everest,faq,fun_fact,train
explain some trivia about lebron james,faq,fun_fact,train
communicate trivia about lebron james,faq,fun_fact,train
what are fun facts about lighthouses,faq,fun_fact,train
can you tell me fun facts about lighthouses,faq,fun_fact,train
tell me interesting facts about lighthouses,faq,fun_fact,train
tell me a fun trivia bit about artificial intelligence,faq,fun_fact,train
do you know any trivia about the ocean,faq,fun_fact,train
tell me something neat about the ocean floor,faq,fun_fact,train
i'd like to hear a fun fact about the nfl,faq,fun_fact,train
i want to hear an interesting fact about dinosaurs,faq,fun_fact,train
please tell me an interesting tidbit about the roman empire,faq,fun_fact,train
can you share some trivia with me about us history,faq,fun_fact,train
do you know any fun facts about the ocean,faq,fun_fact,train
i want to learn a neat fact about black holes,faq,fun_fact,train
can you give me a good piece of trivia about the rainforest,faq,fun_fact,train
tell me something interesting about outer space,faq,fun_fact,train
share with me a fun fact about outer space,faq,fun_fact,train
tell me a neat fact about the ocean,faq,fun_fact,train
tell me some interesting trivia about dinosaurs,faq,fun_fact,train
i want to hear a fun fact about american presidents,faq,fun_fact,train
give me an interesting fact about antarctica,faq,fun_fact,train
can you share something interesting about world war one,faq,fun_fact,train
i want to know some trivia about our solar system,faq,fun_fact,train
tell me a fun fact about the olympics,faq,fun_fact,train
tell me something cool about elephants,faq,fun_fact,train
name some awesome things about dogs,faq,fun_fact,train
list some neat stuff about rats,faq,fun_fact,train
what's a good trivia fact about china,faq,fun_fact,train
give me a fun fact about otters,faq,fun_fact,train
do you know any fun facts about australian football,faq,fun_fact,train
tell me some trivia about birds,faq,fun_fact,train
do you know any trivia about ostriches,faq,fun_fact,train
what's a good fun fact about great britain,faq,fun_fact,train
give me trivia about bats,faq,fun_fact,train
fun facts about tigers,faq,fun_fact,train
tell me something interesting about los angeles,faq,fun_fact,train
what's a fun fact about mythology,faq,fun_fact,train
what's a fun fact relating to elephants,faq,fun_fact,train
what's a cool and interesting thing about dogs,faq,fun_fact,train
i'd like to hear some trivia about florida,faq,fun_fact,train
tell me a fun fact about butterflies,faq,fun_fact,train
please give me a really impressive piece of trivia about bubble gum,faq,fun_fact,train
what is the most fun fact you know about the film industry,faq,fun_fact,train
please tell me trivia about hamburgers,faq,fun_fact,train
what is the most unique piece of trivia relating to cameras,faq,fun_fact,train
what's a fun fact about elephants,faq,fun_fact,train
tell me some amazing trivia about radios,faq,fun_fact,train
tell me a fun fact about computer,faq,fun_fact,train
please tell me a really fun fact about facebook,faq,fun_fact,train
can you tell me the most interesting fact about resistors,faq,fun_fact,train
what is an amazing trivia fact relating to 3d printing,faq,fun_fact,train
tell me a fun fact about tigers,faq,fun_fact,train
can you tell me a fun fact about elephants,faq,fun_fact,train
what is a fun fact about dogs,faq,fun_fact,train
what would be a fun fact about cats,faq,fun_fact,train
tell me all about the trivia with friends,faq,fun_fact,train
i need to know trivia on star wars,faq,fun_fact,train
lets fin out some fun facts about humans,faq,fun_fact,train
i want to know all about trivia for the office,faq,fun_fact,train
explain to me the trivia on twilight,faq,fun_fact,train
lets go threw some trivia on sports,faq,fun_fact,train
"trivia about something,tell me some",faq,fun_fact,train
tell me about something some trivia,faq,fun_fact,train
tell me some something trivia,faq,fun_fact,train
"about something,tell me some trivia",faq,fun_fact,train
tell me about today weather,escalate,replacement_card_duration,train
can my debit card be replaced quickly,escalate,replacement_card_duration,train
how long does visa take to get me a new card,escalate,replacement_card_duration,train
is my card made immedietly after reporting stolen,escalate,replacement_card_duration,train
can i replace a stolen card soon,escalate,replacement_card_duration,train
how long to replace a credit card,escalate,replacement_card_duration,train
how soon until you send me replacement card,escalate,replacement_card_duration,train
when will you mail me a replacement card,escalate,replacement_card_duration,train
how long until you send me a replacement card,escalate,replacement_card_duration,train
when will you send me a replacement card,escalate,replacement_card_duration,train
when can you send me a replacement card,escalate,replacement_card_duration,train
how long will delivery of a new card take,escalate,replacement_card_duration,train
when can i expect my replacement card,escalate,replacement_card_duration,train
how long can i expect to wait for a new card,escalate,replacement_card_duration,train
when do they mail me a replacement card,escalate,replacement_card_duration,train
when does the replacement card arrive,escalate,replacement_card_duration,train
"if my credit card was stolen, how long will it take to replace",escalate,replacement_card_duration,train
how long will i have to wait until they replace a stolen credit card,escalate,replacement_card_duration,train
how long does it take to replace a stolen credit card,escalate,replacement_card_duration,train
how long will a new card take to come in the mail,escalate,replacement_card_duration,train
what's the timeline on replacing a stolen credit card,escalate,replacement_card_duration,train
"do i get a replacement card mailed, and when",escalate,replacement_card_duration,train
what's the transit time on a new card,escalate,replacement_card_duration,train
will you notify me when my new card is on the way,escalate,replacement_card_duration,train
what is the quickest way to get a new card,escalate,replacement_card_duration,train
what is the turn around for a new card,escalate,replacement_card_duration,train
how long will it take to get a new card,escalate,replacement_card_duration,train
when can i expect my new card,escalate,replacement_card_duration,train
my new card will arrive when,escalate,replacement_card_duration,train
my new card arrives in the post when,escalate,replacement_card_duration,train
how long til my new card arrives by mail,escalate,replacement_card_duration,train
my new card will get here in the mail when,escalate,replacement_card_duration,train
"if i ordered a new card, how long til it comes",escalate,replacement_card_duration,train
when can i expect my new card to get here,escalate,replacement_card_duration,train
when will my new card come in the mail,escalate,replacement_card_duration,train
when will my new visa get here,escalate,replacement_card_duration,train
my card is coming by mail how long will that take,escalate,replacement_card_duration,train
how long will it take a new card to come in the mail,escalate,replacement_card_duration,train
what date will my card be here,escalate,replacement_card_duration,train
how many days do i have to wait for my card,escalate,replacement_card_duration,train
when will me new card arrive,escalate,replacement_card_duration,train
how long does it take to get a replacement card,escalate,replacement_card_duration,train
if i order a new card how long would it take,escalate,replacement_card_duration,train
if i need a new card mailed how long will it take,escalate,replacement_card_duration,train
how long will it be for me to get a new card,escalate,replacement_card_duration,train
how long will a new card take to reach me,escalate,replacement_card_duration,train
time to get replacement credit card for stolen one,escalate,replacement_card_duration,train
how long it takes to get a new replacement card,escalate,replacement_card_duration,train
mailing to me for a new card takes how long,escalate,replacement_card_duration,train
mailing a new card to me takes how long,escalate,replacement_card_duration,train
"for anew card to be mailed to me, how long does it take",escalate,replacement_card_duration,train
it takes how long to mail me a new card,escalate,replacement_card_duration,train
a new cards takes how long to mail to me,escalate,replacement_card_duration,train
average time to receive new card,escalate,replacement_card_duration,train
how long to get a new credit card,escalate,replacement_card_duration,train
how many days before my credit card arrives,escalate,replacement_card_duration,train
will my credit card be mailed soon,escalate,replacement_card_duration,train
when will i get my new credit card,escalate,replacement_card_duration,train
my credit card was stolen; how long before a new one will arrive,escalate,replacement_card_duration,train
my credit card has been stolen and i want to know how long it will be before i can get a new one,escalate,replacement_card_duration,train
how long will it take for me to get a new credit card to replace the one that was stolen,escalate,replacement_card_duration,train
my credit card got stolen and i need to know how long it will be before a new on arrives,escalate,replacement_card_duration,train
how many days will it take to get a new credit card to replace the one stolen from me,escalate,replacement_card_duration,train
what's the expected time to have a stolen credit card replaced,escalate,replacement_card_duration,train
how long does it take to replace a lost card,escalate,replacement_card_duration,train
how long should i expect to wait for my new card in the mail,escalate,replacement_card_duration,train
how long should i wait to get my new card when my old one was stolen,escalate,replacement_card_duration,train
what's the typical lag time in receiving a new credit card when your previous one was lost,escalate,replacement_card_duration,train
what's the usual time to get a new card when your previous one was lost,escalate,replacement_card_duration,train
how long will it take before the postal service delivers my new card,escalate,replacement_card_duration,train
what's the typical time it takes for a new card to arrive,escalate,replacement_card_duration,train
when will i get a replacement card for a lost one,escalate,replacement_card_duration,train
what's the eta for a new card to come in the mail,escalate,replacement_card_duration,train
my last card was stolen and i want to know how long until i get my new one,escalate,replacement_card_duration,train
how many days till i get a new card to replace the stolen one,escalate,replacement_card_duration,train
what's the average time it takes for a new card to arrive,escalate,replacement_card_duration,train
how long until the credit card company replaces my lost card,escalate,replacement_card_duration,train
how long does it take to get a replacement credit card when your last one was stolen,escalate,replacement_card_duration,train
how soon will i be sent a new card,escalate,replacement_card_duration,train
how many days does it take to receive a new card,escalate,replacement_card_duration,train
how long does it take you to mail me a new card,escalate,replacement_card_duration,train
how soon will you mail me a new card,escalate,replacement_card_duration,train
what is the earliest date i can get my new card,escalate,replacement_card_duration,train
whats the wait time for a replacement card,escalate,replacement_card_duration,train
how long until i get a replacement card,escalate,replacement_card_duration,train
how long before i can get a replacement card,escalate,replacement_card_duration,train
when will a replacement card get here,escalate,replacement_card_duration,train
how long is the shipping for my replacement card,escalate,replacement_card_duration,train
what date will my replacement card arrive on,escalate,replacement_card_duration,train
is my replacement card coming soon,escalate,replacement_card_duration,train
when will my card replacement arrive,escalate,replacement_card_duration,train
when will my card come,escalate,replacement_card_duration,train
when should i expect my replacement card,escalate,replacement_card_duration,train
when will my replacement card get mailed,escalate,replacement_card_duration,train
do you know when my card will come in,escalate,replacement_card_duration,train
do when you when my replacement card will get mailed,escalate,replacement_card_duration,train
what date will my replacement card get mailed,escalate,replacement_card_duration,train
what would be the estimated time from to get a new card mailed to me,escalate,replacement_card_duration,train
what is the time frame to get a new card mailed to me,escalate,replacement_card_duration,train
how long until i can expect my new card to get mailed to me,escalate,replacement_card_duration,train
"what time is it in punta gorda, florida",faq,time,train
"what time is it in glenwood springs, co",faq,time,train
"what time is it in fredericksburg, tx",faq,time,train
"what time is it in las vegas, nv",faq,time,train
"what time is it in houston, tx",faq,time,train
i need to know the current time in the central timezone,faq,time,train
would you tell me the current time in the eastern timezone,faq,time,train
let me know the current time in the central timezone,faq,time,train
tell me what time it is in the central timezone,faq,time,train
i am needing to know the current time in the eastern timezone,faq,time,train
what is the time right now in the hst timezone,faq,time,train
can you tell me the current time,faq,time,train
what is the current time in cst,faq,time,train
i need to know what time it is in florida,faq,time,train
what is the time right now,faq,time,train
"in the mst time zone, what time is it right now",faq,time,train
tell me what time it is right now,faq,time,train
can you tell me the current time in the pacific timezone,faq,time,train
look up the time in california,faq,time,train
what is the current est time,faq,time,train
can you tell me what time it is please,faq,time,train
what time is it getting to be,faq,time,train
what time do you have on your watch,faq,time,train
what time would it be in rome right now,faq,time,train
what's the time in london,faq,time,train
what's the time set to in florida right now,faq,time,train
what time is it currently in istanbul,faq,time,train
what time is it right now in paris,faq,time,train
what's the time right now,faq,time,train
"current time, please",faq,time,train
would you mind telling me the time,faq,time,train
can you give me the time,faq,time,train
please let me know what time it is,faq,time,train
what is the exact time right now in the hawaii time zone,faq,time,train
what is the time,faq,time,train
what is the time right now in the peruvian time zone,faq,time,train
what is the exact time,faq,time,train
what time is it exactly in the new zealand time zone,faq,time,train
what is the exact time in the ist time zone,faq,time,train
what is the time in the utc timezone,faq,time,train
what time is it exactly,faq,time,train
what is the time now,faq,time,train
what time is it in russia,faq,time,train
what time is it,faq,time,train
"what is the time in sydney, australia",faq,time,train
what time is it in honolulu,faq,time,train
what's the current time in greenwhich,faq,time,train
what's the current time in est,faq,time,train
what time is it on the pacific coast right now,faq,time,train
"given my time, what time is it in mst",faq,time,train
have you the time,faq,time,train
when is it right now,faq,time,train
what hour and minute is it,faq,time,train
what time is it right now in cst,faq,time,train
what time is it in the eastern standard timezone,faq,time,train
what time is it in the pacific standard timezone,faq,time,train
what time is it in the alaska standard timezone,faq,time,train
what time is it in the central standard timezone,faq,time,train
what time is it in the mountain standard timezone,faq,time,train
now what is the time,faq,time,train
at the moment what is the time,faq,time,train
i want to know the time,faq,time,train
what time is it now,faq,time,train
do you know the current time in southern california,faq,time,train
what is the current time in china,faq,time,train
what is the current time in mexico city,faq,time,train
what is the current time in new york,faq,time,train
what is the current time in istanbul,faq,time,train
what time is it in buenos aires,faq,time,train
what time is it in north korea,faq,time,train
what does it say on the clock,faq,time,train
"in tokyo, what's the time",faq,time,train
"in tokyo, what time is it",faq,time,train
what's the time in tokyo,faq,time,train
time in tokyo,faq,time,train
what time is it in tokyo,faq,time,train
the time please,faq,time,train
i want to know what time it is,faq,time,train
can you tell me the time,faq,time,train
i would like to know the time,faq,time,train
i need to know the time,faq,time,train
the current time,faq,time,train
"in the eastern timezone, what time is it now",faq,time,train
"in the central timezone, what time is it",faq,time,train
what's the current time now cst,faq,time,train
"in pacific time, what's the current time",faq,time,train
what time is it now pacific time,faq,time,train
"what is the current time, please",faq,time,train
"what's the current time, please",faq,time,train
"what is the time, please",faq,time,train
how is the time,faq,time,train
please tell me the time,faq,time,train
what time is it in london,faq,time,train
what time is it in new york,faq,time,train
what time is it in paris,faq,time,train
what time is it in daniel boone national forest timezone,faq,time,train
what is the time in atlantic timezone,faq,time,train
what's the time in anchorage timezone,faq,time,train
"in bst timezone, what time is it",faq,time,train
do you have the time,faq,time,train
what things can you help me with exactly,ambiguous,what_can_i_ask_you,train
what are the things you can help me with,ambiguous,what_can_i_ask_you,train
what exactly can you help me with,ambiguous,what_can_i_ask_you,train
what can you help me with exactly,ambiguous,what_can_i_ask_you,train
what can you help me with,ambiguous,what_can_i_ask_you,train
what kinds of questions can you answer,ambiguous,what_can_i_ask_you,train
tell me the subject areas you are familiar with,ambiguous,what_can_i_ask_you,train
what sorts of subjects are you well versed in,ambiguous,what_can_i_ask_you,train
what are the subject areas you are knowledgable in,ambiguous,what_can_i_ask_you,train
what kinds of things are you knowledgable about,ambiguous,what_can_i_ask_you,train
tell me the types of things i can ask you about,ambiguous,what_can_i_ask_you,train
what sorts of things can i ask you about,ambiguous,what_can_i_ask_you,train
tell me what you are capable of answering,ambiguous,what_can_i_ask_you,train
what sorts of queries should i give you,ambiguous,what_can_i_ask_you,train
what sorts of subjects do you know about,ambiguous,what_can_i_ask_you,train
what type of questions may i ask you,ambiguous,what_can_i_ask_you,train
which types of questions may i ask you,ambiguous,what_can_i_ask_you,train
what kind of questions may i ask you,ambiguous,what_can_i_ask_you,train
which types of questions can i ask you,ambiguous,what_can_i_ask_you,train
what kind of questions can i ask you,ambiguous,what_can_i_ask_you,train
what topics can i ask you about,ambiguous,what_can_i_ask_you,train
what information can i ask you,ambiguous,what_can_i_ask_you,train
what subjects do you know something about,ambiguous,what_can_i_ask_you,train
what kinds of questions can i ask you,ambiguous,what_can_i_ask_you,train
what types of things do you know,ambiguous,what_can_i_ask_you,train
what kind of questions do you accept,ambiguous,what_can_i_ask_you,train
what questions are permissible,ambiguous,what_can_i_ask_you,train
what can i ask you,ambiguous,what_can_i_ask_you,train
what are my list of commands,ambiguous,what_can_i_ask_you,train
what are the kinds of things you can help me with,ambiguous,what_can_i_ask_you,train
what kind of questions are you good at answering,ambiguous,what_can_i_ask_you,train
can i ask you about anything,ambiguous,what_can_i_ask_you,train
can you help me with anything i need,ambiguous,what_can_i_ask_you,train
what all can you do,ambiguous,what_can_i_ask_you,train
what things do you know about,ambiguous,what_can_i_ask_you,train
what are you able to help me with,ambiguous,what_can_i_ask_you,train
what types of things are you able to do,ambiguous,what_can_i_ask_you,train
what can you answer for me,ambiguous,what_can_i_ask_you,train
is there anything i can't ask you,ambiguous,what_can_i_ask_you,train
what questions do you respond to,ambiguous,what_can_i_ask_you,train
what should i ask you about,ambiguous,what_can_i_ask_you,train
what are you able to answer,ambiguous,what_can_i_ask_you,train
what's the sort of thing i should ask,ambiguous,what_can_i_ask_you,train
what kind of things can you answer,ambiguous,what_can_i_ask_you,train
what things can you do,ambiguous,what_can_i_ask_you,train
what can you do,ambiguous,what_can_i_ask_you,train
what types of questions do you have a response for,ambiguous,what_can_i_ask_you,train
what kinds of questions can you respond to,ambiguous,what_can_i_ask_you,train
what do you have answers for,ambiguous,what_can_i_ask_you,train
what questions am i allowed to ask,ambiguous,what_can_i_ask_you,train
what kinds of things can you do,ambiguous,what_can_i_ask_you,train
ai can you tell me what things i may ask,ambiguous,what_can_i_ask_you,train
"what can i ask you, ai",ambiguous,what_can_i_ask_you,train
what am i able to ask the ai,ambiguous,what_can_i_ask_you,train
"ai, tell me what things i should ask of you",ambiguous,what_can_i_ask_you,train
what sorts of things am i able to ask of you ai,ambiguous,what_can_i_ask_you,train
how can i get you to help me,ambiguous,what_can_i_ask_you,train
what types of things can i ask you,ambiguous,what_can_i_ask_you,train
what sort of things can you help me with,ambiguous,what_can_i_ask_you,train
what are you able to do,ambiguous,what_can_i_ask_you,train
what can i use you to help me with,ambiguous,what_can_i_ask_you,train
how can i use you,ambiguous,what_can_i_ask_you,train
what subjects do you know,ambiguous,what_can_i_ask_you,train
what subjects are you familiar with,ambiguous,what_can_i_ask_you,train
what subjects do you know about,ambiguous,what_can_i_ask_you,train
what types of subjects do you know,ambiguous,what_can_i_ask_you,train
what are you familiar with,ambiguous,what_can_i_ask_you,train
what do you know,ambiguous,what_can_i_ask_you,train
what subjects are you versed in,ambiguous,what_can_i_ask_you,train
can you tell me the subjects you know best,ambiguous,what_can_i_ask_you,train
tell me the subjects you're aware of,ambiguous,what_can_i_ask_you,train
let me know what subjects you comprehend well,ambiguous,what_can_i_ask_you,train
what are the sorts of things i can ask you about,ambiguous,what_can_i_ask_you,train
what questions are you programmed to answer,ambiguous,what_can_i_ask_you,train
what kinds of things can i ask you,ambiguous,what_can_i_ask_you,train
what kinds of questions can i ask of you,ambiguous,what_can_i_ask_you,train
are there certain types of questions i can ask you,ambiguous,what_can_i_ask_you,train
what kinds of things would you be able to help me with,ambiguous,what_can_i_ask_you,train
i need to know what kind of things you can help with,ambiguous,what_can_i_ask_you,train
i want to know what sort of things you can assist me with,ambiguous,what_can_i_ask_you,train
what sort of things are you able to help with,ambiguous,what_can_i_ask_you,train
let me know what you can assist me with,ambiguous,what_can_i_ask_you,train
how can i benefit from using you,ambiguous,what_can_i_ask_you,train
how can you assist me,ambiguous,what_can_i_ask_you,train
i wanna know the types of subjects are you familiar with,ambiguous,what_can_i_ask_you,train
i wish to know the types of subjects are you familiar with,ambiguous,what_can_i_ask_you,train
please inform me of the types of subjects are you familiar with,ambiguous,what_can_i_ask_you,train
what can you be asked about,ambiguous,what_can_i_ask_you,train
